gene	type
Zm00001eb207540	SD
Zm00001eb074430	SD
Zm00001eb047830	SD
Zm00001eb390320	SD
Zm00001eb155010	SD
Zm00001eb139250	SD
Zm00001eb000870	SD
Zm00001eb000340	SD
Zm00001eb271550	SD
Zm00001eb029610	SD
Zm00001eb171790	SD
Zm00001eb404370	SD
Zm00001eb156610	SD
Zm00001eb360480	SD
Zm00001eb361410	SD
Zm00001eb294190	SD
Zm00001eb023270	SD
Zm00001eb187690	SD
Zm00001eb149800	SD
Zm00001eb434410	SD
Zm00001eb070840	SD
Zm00001eb351570	SD
Zm00001eb343660	SD
Zm00001eb395310	SD
Zm00001eb229270	SD
Zm00001eb295800	SD
Zm00001eb268610	SD
Zm00001eb380840	SD
Zm00001eb323810	SD
Zm00001eb359990	SD
Zm00001eb152970	SD
Zm00001eb298600	SD
Zm00001eb432020	SD
Zm00001eb163250	SD
Zm00001eb094250	SD
Zm00001eb404830	SD
Zm00001eb299670	SD
Zm00001eb388040	SD
Zm00001eb043720	SD
Zm00001eb413290	SD
Zm00001eb326610	SD
Zm00001eb355010	SD
Zm00001eb287260	SD
Zm00001eb041840	SD
Zm00001eb390440	SD
Zm00001eb174440	SD
Zm00001eb188560	SD
Zm00001eb330260	SD
Zm00001eb111100	SD
Zm00001eb102050	SD
Zm00001eb324930	SD
Zm00001eb153100	SD
Zm00001eb031290	SD
Zm00001eb135720	SD
Zm00001eb400280	SD
Zm00001eb371020	SD
Zm00001eb122250	SD
Zm00001eb024600	SD
Zm00001eb072510	SD
Zm00001eb088090	SD
Zm00001eb296870	SD
Zm00001eb193530	SD
Zm00001eb256170	SD
Zm00001eb079300	SD
Zm00001eb209850	SD
Zm00001eb394410	SD
Zm00001eb399840	SD
Zm00001eb192340	SD
Zm00001eb188030	SD
Zm00001eb161780	SD
Zm00001eb192500	SD
Zm00001eb077900	SD
Zm00001eb283610	SD
Zm00001eb121520	SD
Zm00001eb023450	SD
Zm00001eb012760	SD
Zm00001eb300740	SD
Zm00001eb017000	SD
Zm00001eb312360	SD
Zm00001eb252790	SD
Zm00001eb433610	SD
Zm00001eb158110	SD
Zm00001eb214970	SD
Zm00001eb000590	SD
Zm00001eb432730	SD
Zm00001eb384230	SD
Zm00001eb060220	SD
Zm00001eb037470	SD
Zm00001eb404940	SD
Zm00001eb417970	SD
Zm00001eb109270	SD
Zm00001eb365340	SD
Zm00001eb007050	SD
Zm00001eb093980	SD
Zm00001eb127880	SD
Zm00001eb253140	SD
Zm00001eb106120	SD
Zm00001eb292350	SD
Zm00001eb265670	SD
Zm00001eb413950	SD
Zm00001eb175670	SD
Zm00001eb330790	SD
Zm00001eb098590	SD
Zm00001eb165660	SD
Zm00001eb277540	SD
Zm00001eb396680	SD
Zm00001eb352890	SD
Zm00001eb232170	SD
Zm00001eb129790	SD
Zm00001eb322530	SD
Zm00001eb105540	SD
Zm00001eb155860	SD
Zm00001eb067080	SD
Zm00001eb430160	SD
Zm00001eb035960	SD
Zm00001eb342670	SD
Zm00001eb431930	SD
Zm00001eb342680	SD
Zm00001eb321900	SD
Zm00001eb387800	SD
Zm00001eb222050	SD
Zm00001eb158050	SD
Zm00001eb106890	SD
Zm00001eb223160	SD
Zm00001eb079970	SD
Zm00001eb135220	SD
Zm00001eb050350	SD
Zm00001eb115830	SD
Zm00001eb360580	SD
Zm00001eb156300	SD
Zm00001eb431870	SD
Zm00001eb139750	SD
Zm00001eb094340	SD
Zm00001eb053110	SD
Zm00001eb383980	SD
Zm00001eb182010	SD
Zm00001eb267350	SD
Zm00001eb228660	SD
Zm00001eb006560	SD
Zm00001eb073760	SD
Zm00001eb247890	SD
Zm00001eb221190	SD
Zm00001eb013860	SD
Zm00001eb431240	SD
Zm00001eb210450	SD
Zm00001eb102240	SD
Zm00001eb371770	SD
Zm00001eb144600	SD
Zm00001eb252650	SD
Zm00001eb078140	SD
Zm00001eb101320	SD
Zm00001eb356970	SD
Zm00001eb040920	SD
Zm00001eb433980	SD
Zm00001eb386920	SD
Zm00001eb099590	SD
Zm00001eb349830	SD
Zm00001eb399270	SD
Zm00001eb428530	SD
Zm00001eb033590	SD
Zm00001eb396030	SD
Zm00001eb188670	SD
Zm00001eb201030	SD
Zm00001eb063660	SD
Zm00001eb107220	SD
Zm00001eb227100	SD
Zm00001eb140560	SD
Zm00001eb361450	SD
Zm00001eb159160	SD
Zm00001eb233940	SD
Zm00001eb214800	SD
Zm00001eb316130	SD
Zm00001eb254410	SD
Zm00001eb216020	SD
Zm00001eb329590	SD
Zm00001eb398420	SD
Zm00001eb325270	SD
Zm00001eb333590	SD
Zm00001eb257250	SD
Zm00001eb361520	SD
Zm00001eb344140	SD
Zm00001eb313280	SD
Zm00001eb099720	SD
Zm00001eb117210	SD
Zm00001eb280820	SD
Zm00001eb192780	SD
Zm00001eb199970	SD
Zm00001eb016560	SD
Zm00001eb356140	SD
Zm00001eb394870	SD
Zm00001eb199400	SD
Zm00001eb135380	SD
Zm00001eb083200	SD
Zm00001eb334990	SD
Zm00001eb345240	SD
Zm00001eb364620	SD
Zm00001eb195450	SD
Zm00001eb304560	SD
Zm00001eb087920	SD
Zm00001eb097100	SD
Zm00001eb225970	SD
Zm00001eb362840	SD
Zm00001eb430440	SD
Zm00001eb207890	SD
Zm00001eb417870	SD
Zm00001eb275450	SD
Zm00001eb428910	SD
Zm00001eb095640	SD
Zm00001eb035840	SD
Zm00001eb293660	SD
Zm00001eb096900	SD
Zm00001eb205470	SD
Zm00001eb095350	SD
Zm00001eb266250	SD
Zm00001eb212800	SD
Zm00001eb303110	SD
Zm00001eb283110	SD
Zm00001eb151630	SD
Zm00001eb072860	SD
Zm00001eb293320	SD
Zm00001eb000860	SD
Zm00001eb336020	SD
Zm00001eb273370	SD
Zm00001eb187440	SD
Zm00001eb361980	SD
Zm00001eb360990	SD
Zm00001eb397320	SD
Zm00001eb109780	SD
Zm00001eb102350	SD
Zm00001eb192910	SD
Zm00001eb413670	SD
Zm00001eb349780	SD
Zm00001eb195000	SD
Zm00001eb016120	SD
Zm00001eb053540	SD
Zm00001eb402480	SD
Zm00001eb153630	SD
Zm00001eb104820	SD
Zm00001eb099710	SD
Zm00001eb331520	SD
Zm00001eb043680	SD
Zm00001eb343670	SD
Zm00001eb096920	SD
Zm00001eb021510	SD
Zm00001eb272820	SD
Zm00001eb159550	SD
Zm00001eb384580	SD
Zm00001eb363270	SD
Zm00001eb402940	SD
Zm00001eb003150	SD
Zm00001eb405190	SD
Zm00001eb227030	SD
Zm00001eb139110	SD
Zm00001eb373500	SD
Zm00001eb167830	SD
Zm00001eb086360	SD
Zm00001eb138830	SD
Zm00001eb407890	SD
Zm00001eb072940	SD
Zm00001eb247150	SD
Zm00001eb204940	SD
Zm00001eb299510	SD
Zm00001eb054660	SD
Zm00001eb281080	SD
Zm00001eb059050	SD
Zm00001eb392440	SD
Zm00001eb051470	SD
Zm00001eb070760	SD
Zm00001eb171780	SD
Zm00001eb359430	SD
Zm00001eb398680	SD
Zm00001eb020370	SD
Zm00001eb199600	SD
Zm00001eb154260	SD
Zm00001eb258510	SD
Zm00001eb022080	SD
Zm00001eb242050	SD
Zm00001eb434040	SD
Zm00001eb421170	SD
Zm00001eb165880	SD
Zm00001eb033230	SD
Zm00001eb321450	SD
Zm00001eb391770	SD
Zm00001eb396450	SD
Zm00001eb295600	SD
Zm00001eb134240	SD
Zm00001eb291070	SD
Zm00001eb396440	SD
Zm00001eb150100	SD
Zm00001eb115900	SD
Zm00001eb048660	SD
Zm00001eb176030	SD
Zm00001eb037120	SD
Zm00001eb394120	SD
Zm00001eb430580	SD
Zm00001eb364280	SD
Zm00001eb071300	SD
Zm00001eb353510	SD
Zm00001eb293720	SD
Zm00001eb036140	SD
Zm00001eb256740	SD
Zm00001eb257400	SD
Zm00001eb004500	SD
Zm00001eb334900	SD
Zm00001eb389830	SD
Zm00001eb351500	SD
Zm00001eb191290	SD
Zm00001eb220750	SD
Zm00001eb018010	SD
Zm00001eb050340	SD
Zm00001eb313960	SD
Zm00001eb286080	SD
Zm00001eb055280	SD
Zm00001eb280130	SD
Zm00001eb031970	SD
Zm00001eb180790	SD
Zm00001eb085420	SD
Zm00001eb208110	SD
Zm00001eb121480	SD
Zm00001eb214520	SD
Zm00001eb035700	SD
Zm00001eb256570	SD
Zm00001eb089490	SD
Zm00001eb331350	SD
Zm00001eb414040	SD
Zm00001eb350390	SD
Zm00001eb402710	SD
Zm00001eb361260	SD
Zm00001eb201810	SD
Zm00001eb119830	SD
Zm00001eb180670	SD
Zm00001eb333690	SD
Zm00001eb354250	SD
Zm00001eb362860	SD
Zm00001eb374480	SD
Zm00001eb151510	SD
