dup1	dup2	Ka	Ks	Ka_Ks	type	peak	peak_name
Zm00001eb207540	Zm00001eb273760	0.311456	1.45425	0.21417	SD	1	ZEAM
Zm00001eb074430	Zm00001eb249850	0.279579	1.54482	0.180978	SD	1	ZEAM
Zm00001eb047830	Zm00001eb222880	0.0755416	0.13654	0.553255	SD	1	ZEAM
Zm00001eb155010	Zm00001eb361410	0.143875	0.257491	0.558757	SD	1	ZEAM
Zm00001eb155010	Zm00001eb294190	0.476366	1.39952	0.340377	SD	1	ZEAM
Zm00001eb000870	Zm00001eb404070	0.301159	0.377108	0.798603	SD	1	ZEAM
Zm00001eb000870	Zm00001eb043720	1.00306	1.87491	0.534989	SD	1	ZEAM
Zm00001eb000340	Zm00001eb404410	0.0632461	0.183158	0.34531	SD	1	ZEAM
Zm00001eb029610	Zm00001eb136230	0.329901	0.541331	0.609426	SD	1	ZEAM
Zm00001eb156610	Zm00001eb295210	0.183052	2.4182	0.0756978	SD	1	ZEAM
Zm00001eb360480	Zm00001eb295210	0.187351	1.81836	0.103033	SD	1	ZEAM
Zm00001eb361410	Zm00001eb294190	0.269141	2.37976	0.113096	SD	1	ZEAM
Zm00001eb294190	Zm00001eb160490	0.484325	2.34646	0.206407	SD	1	ZEAM
Zm00001eb023270	Zm00001eb391270	0.142721	0.243898	0.585167	SD	1	ZEAM
Zm00001eb187690	Zm00001eb251100	0.0842789	0.196696	0.428473	SD	1	ZEAM
Zm00001eb434410	Zm00001eb076460	0.0691499	0.179681	0.384848	SD	1	ZEAM
Zm00001eb070840	Zm00001eb430870	0.10199	0.161083	0.633148	SD	1	ZEAM
Zm00001eb351570	Zm00001eb289850	0.31994	0.388747	0.823004	SD	1	ZEAM
Zm00001eb343660	Zm00001eb295800	0.0904601	0.233358	0.387645	SD	1	ZEAM
Zm00001eb229270	Zm00001eb210110	0.538795	0.505688	1.06547	SD	1	ZEAM
Zm00001eb295800	Zm00001eb359990	0.440473	2.80494	0.157034	SD	1	ZEAM
Zm00001eb380840	Zm00001eb280900	0.0698537	0.151123	0.46223	SD	1	ZEAM
Zm00001eb323810	Zm00001eb106680	0.120042	0.248821	0.482444	SD	1	ZEAM
Zm00001eb152970	Zm00001eb371050	0.080655	0.14985	0.538237	SD	1	ZEAM
Zm00001eb432020	Zm00001eb068620	0.0562574	0.155189	0.362509	SD	1	ZEAM
Zm00001eb388040	Zm00001eb206130	0.17262	1.2534	0.137721	SD	1	ZEAM
Zm00001eb043720	Zm00001eb220400	0.182371	0.253761	0.718672	SD	1	ZEAM
Zm00001eb413290	Zm00001eb431240	0.682935	2.52942	0.269997	SD	1	ZEAM
Zm00001eb326610	Zm00001eb108390	0.114627	0.342661	0.334519	SD	1	ZEAM
Zm00001eb355010	Zm00001eb265240	0.141153	0.248998	0.566885	SD	1	ZEAM
Zm00001eb041840	Zm00001eb312210	0.519554	2.04505	0.254054	SD	1	ZEAM
Zm00001eb390440	Zm00001eb024560	0.0613504	0.167848	0.365511	SD	1	ZEAM
Zm00001eb174440	Zm00001eb260170	0.065799	0.161936	0.406327	SD	1	ZEAM
Zm00001eb188560	Zm00001eb252300	0.0669618	0.137777	0.486015	SD	1	ZEAM
Zm00001eb330260	Zm00001eb111100	0.177987	0.231563	0.768634	SD	1	ZEAM
Zm00001eb102050	Zm00001eb316990	0.520943	0.41069	1.26846	SD	1	ZEAM
Zm00001eb324930	Zm00001eb107250	0.275427	0.39011	0.706023	SD	1	ZEAM
Zm00001eb153100	Zm00001eb371020	0.155605	0.203757	0.763679	SD	1	ZEAM
Zm00001eb031290	Zm00001eb050880	0.284949	1.34549	0.211781	SD	1	ZEAM
Zm00001eb135720	Zm00001eb050880	0.293001	1.19138	0.245935	SD	1	ZEAM
Zm00001eb400280	Zm00001eb008570	0.074554	0.138005	0.540226	SD	1	ZEAM
Zm00001eb122250	Zm00001eb337050	0.0940793	0.164648	0.571398	SD	1	ZEAM
Zm00001eb024600	Zm00001eb390530	0.104399	0.166562	0.626789	SD	1	ZEAM
Zm00001eb088090	Zm00001eb419770	0.27812	1.33689	0.208036	SD	1	ZEAM
Zm00001eb193530	Zm00001eb256170	0.0594668	0.128919	0.461271	SD	1	ZEAM
Zm00001eb079300	Zm00001eb425140	0.109337	0.125561	0.870788	SD	1	ZEAM
Zm00001eb209850	Zm00001eb229410	0.18579	0.306512	0.606143	SD	1	ZEAM
Zm00001eb394410	Zm00001eb017430	0.249135	0.474208	0.525371	SD	1	ZEAM
Zm00001eb188030	Zm00001eb251620	0.0829004	0.295572	0.280474	SD	1	ZEAM
Zm00001eb192500	Zm00001eb257690	0.174207	0.210384	0.828045	SD	1	ZEAM
Zm00001eb283610	Zm00001eb121520	0.152852	1.09236	0.139928	SD	1	ZEAM
Zm00001eb300740	Zm00001eb213190	0.400562	1.83367	0.218448	SD	1	ZEAM
Zm00001eb300740	Zm00001eb060220	0.440008	3.27685	0.134277	SD	1	ZEAM
Zm00001eb312360	Zm00001eb099340	0.433085	0.416288	1.04035	SD	1	ZEAM
Zm00001eb433610	Zm00001eb066400	0.0921091	0.385185	0.239129	SD	1	ZEAM
Zm00001eb214970	Zm00001eb057140	0.10462	0.16881	0.619753	SD	1	ZEAM
Zm00001eb384230	Zm00001eb277410	0.114596	0.268701	0.42648200000000003	SD	1	ZEAM
Zm00001eb060220	Zm00001eb213190	0.101551	0.542543	0.187176	SD	1	ZEAM
Zm00001eb404940	Zm00001eb195140	0.564236	1.0634	0.530597	SD	1	ZEAM
Zm00001eb417970	Zm00001eb354310	0.396808	0.595441	0.66641	SD	1	ZEAM
Zm00001eb109270	Zm00001eb327470	0.0608114	0.136556	0.445323	SD	1	ZEAM
Zm00001eb365340	Zm00001eb144170	0.638188	0.752587	0.847992	SD	1	ZEAM
Zm00001eb007050	Zm00001eb400460	0.0625054	0.18898	0.330751	SD	1	ZEAM
Zm00001eb093980	Zm00001eb195140	0.317453	0.493622	0.64311	SD	1	ZEAM
Zm00001eb253140	Zm00001eb189120	0.0652784	0.202212	0.322821	SD	1	ZEAM
Zm00001eb292350	Zm00001eb352890	0.447575	0.543035	0.82421	SD	1	ZEAM
Zm00001eb292350	Zm00001eb151690	0.753445	1.68437	0.447316	SD	1	ZEAM
Zm00001eb265670	Zm00001eb355300	0.123538	0.26588	0.464637	SD	1	ZEAM
Zm00001eb413950	Zm00001eb430630	0.186887	1.28906	0.14498	SD	1	ZEAM
Zm00001eb175670	Zm00001eb038670	0.0852996	0.172103	0.495632	SD	1	ZEAM
Zm00001eb098590	Zm00001eb310930	0.596206	0.453119	1.31578	SD	1	ZEAM
Zm00001eb165660	Zm00001eb115720	0.247865	0.31256	0.793014	SD	1	ZEAM
Zm00001eb396680	Zm00001eb013860	0.186646	0.196348	0.950586	SD	1	ZEAM
Zm00001eb352890	Zm00001eb151690	0.55436	1.78832	0.309988	SD	1	ZEAM
Zm00001eb322530	Zm00001eb105830	0.0904089	0.149278	0.605643	SD	1	ZEAM
Zm00001eb155860	Zm00001eb360840	0.200838	1.74875	0.114847	SD	1	ZEAM
Zm00001eb035960	Zm00001eb174880	0.738653	0.758481	0.973858	SD	1	ZEAM
Zm00001eb035960	Zm00001eb317410	0.616363	1.01272	0.608624	SD	1	ZEAM
Zm00001eb342670	Zm00001eb155860	0.290974	1.512	0.192443	SD	1	ZEAM
Zm00001eb342680	Zm00001eb360840	0.274366	1.91973	0.142919	SD	1	ZEAM
Zm00001eb342680	Zm00001eb155890	0.29619	1.60601	0.184427	SD	1	ZEAM
Zm00001eb222050	Zm00001eb046220	0.0940362	0.530223	0.177352	SD	1	ZEAM
